,,,,"1=Present, 0=Absent",,,,,,,,,,
Waypoint,GPS (S),GPS (E),% Cover Algae,Presence/Absence Forams,Filimentous/Film Algae,Turf Macroalgae,Fleshy Algae,Calcareous Algae,Live Coral ,Bare Limestone,Coral Rubble,Sediment,Total ,Comment
2,-23.498882,152.092297,85,1,85,,,,,5,,10,100,zone 5-2
3,-23.500476,152.091281,85,1,5,80,,,,10,,5,100,zone 5-3
4,-23.500152,152.091837,65,1,60,5,,,,,30,5,100,zone 5-4
5,-23.499853,152.092131,40,0,40,,,,,10,50,,100,zone 5-5
7,-23.498092,152.091022,35,1,30,5,,,,,10,55,100,zone 5-7
8,-23.492845,152.089544,60,1,50,10,,,,,30,10,100,zone 5-8
9,-23.4928,152.089683,60,1,20,40,,,,,5,35,100,zone 5-9
11,-23.492266,152.089092,75,1,10,65,,,,,20,5,100,zone 4-1
13,-23.50031,152.061933,45,1,5,40,,,,,,55,100,zone 4-3
14,-23.501572,152.060249,85,1,5,80,,,,,15,,100,zone 4-4
15,-23.501834,152.059828,80,1,0,80,,,,,5,15,100,zone 4-5
16,-23.502172,152.059382,85,1,5,80,,,,,5,10,100,zone 4-6
17,-23.502886,152.058394,65,1,5,60,,,,,35,,100,zone 4-7
18,-23.503228,152.057981,80,1,,60,20,,,,,20,100,zone 4-8
19,-23.503404,152.057683,90,1,80,10,,,,,10,,100,zone 4-9
20,-23.503565,152.05743,95,1,95,,,,,,5,,100,zone 4-10
24,-23.503453,152.055882,80,1,,80,,,,,15,5,100,
25,-23.504072,152.055577,95,1,,95,,,,,,5,100,
26,-23.498088,152.058877,0,0,,,,,,,95,5,100,
27,-23.498258,152.058679,95,1,,95,,,,,,5,100,
28,-23.498524,152.058468,80,1,,80,,,,,,20,100,
29,-23.49876,152.058284,75,1,,75,,,,,15,10,100,
30,-23.49899,152.057584,80,1,30,50,,,,,,20,100,
31,-23.499227,152.057354,10,0,10,,,,,,90,,100,
32,-23.500623,152.06162,70,1,35,35,,,,,30,,100,
33,-23.50082,152.061394,95,1,,90,5,,,,,5,100,
34,-23.500972,152.061236,100,1,100,,,,,,,,100,
35,-23.501174,152.060968,95,1,40,40,15,,,,5,,100,
36,-23.501554,152.060092,90,1,40,40,10,,,,10,,100,
37,-23.501603,152.059901,90,1,40,40,10,,,,10,,100,
38,-23.501803,152.059511,100,1,90,,10,,,,,,100,
39,-23.501818,152.058972,100,1,100,,,,,,,,100,
40,-23.501912,152.058678,100,1,70,,30,,,,,,100,
41,-23.501791,152.058173,100,0,100,,,,,,,,100,
42,-23.501705,152.057793,100,1,90,10,,,,,,,100,
43,-23.501624,152.057526,90,1,90,,,,,,10,,100,
44,-23.503456,152.057351,100,1,50,50,,,,,,,100,
45,-23.505495,152.057678,50,1,,50,,,,,50,,100,
46,-23.505905,152.060026,100,1,80,20,,,,,,,100,
47,-23.505659,152.062189,80,1,80,,,,,20,,,100,
48,-23.503434,152.059867,80,1,80,,,,,,20,,100,
49,-23.500189,152.062122,60,1,60,,,,,,30,10,100,
50,-23.500174,152.061765,90,1,80,10,,,,,,10,100,
51,-23.499052,152.063264,100,1,80,20,,,,,,,100,
52,-23.494088,152.068068,80,1,20,60,,,,,,20,100,
53,-23.494002,152.067814,100,1,50,50,,,,,,,100,
54,-23.49236,152.066664,90,1,45,45,,,,,,10,100,
55,-23.493806,152.065814,90,1,90,,,,,,,10,100,
56,-23.493774,152.066122,90,1,45,45,,,,,,10,100,
57,-23.494591,152.068231,90,1,70,20,,,,,,10,100,
58,-23.494355,152.068006,80,1,70,10,,,,,20,,100,
59,-23.494195,152.068001,90,1,45,45,,,,,,10,100,
60,-23.49586,152.07396,0,0,,,,,,,100,,100,
61,-23.495803,152.07386,80,1,,80,,,,,,20,100,
62,-23.495713,152.073716,80,1,40,40,,,,,,20,100,
63,-23.49718,152.07744,100,1,50,50,,,,,,,100,
65,-23.497683,152.080747,90,1,45,45,,,,,10,,100,
66,-23.49931,152.080285,100,1,50,50,,,,,,,100,
67,-23.501683,152.082531,100,1,,100,,,,,,,100,
68,-23.494595,152.091165,100,1,80,20,,,,,,,100,
69,-23.494697,152.091008,90,1,40,50,,,,,,10,100,
70,-23.494578,152.090749,100,1,10,50,40,,,,,,100,
71,-23.494646,152.090475,90,1,90,,,,,,10,,100,
72,-23.493434,152.089971,90,1,45,45,,,,,,10,100,
73,-23.491415,152.086584,80,1,,80,,,,,10,10,100,
74,-23.491396,152.086377,90,1,40,,50,,,,,10,100,
75,-23.491429,152.085739,60,1,,30,30,,,,30,10,100,
76,-23.489738,152.086003,70,1,55,10,5,,,,20,10,100,
77,-23.48835,152.085917,90,1,55,15,10,10,,,10,,100,
78,-23.487662,152.085594,0,0,,,,,,,100,,100,
79,-23.486772,152.083648,90,1,45,45,,,,,,10,100,
80,-23.485996,152.082323,80,1,,80,,,,,20,,100,
81,-23.487034,152.079653,20,1,5,15,,,,,80,,100,
82,-23.48682,152.079097,60,1,10,40,10,,,,40,,100,
83,-23.486853,152.078052,100,1,100,,,,,,,,100,
84,-23.49014,152.077304,100,1,10,90,,,,,,,100,
85,-23.490158,152.077108,100,1,50,50,,,,,,,100,
86,-23.492955,152.082024,30,0,,10,20,,,70,,,100,
87,-23.492733,152.082013,100,1,100,,,,,,,,100,
88,0,0,100,1,50,50,,,,,,,100,
89,-23.508924,152.08367,100,1,50,50,,,,,,,100,
90,-23.508243,152.085302,0,0,,,,,,,100,,100,
91,-23.50746,152.086828,90,1,,80,,10,,,10,,100,
92,-23.507171,152.087352,85,1,45,40,,,,,5,10,100,
93,-23.506906,152.087852,100,1,50,50,,,,,,,100,
94,-23.504075,152.06579,100,1,50,50,,,,,,,100,
95,-23.503071,152.050673,100,1,50,50,,,,,,,100,
96,-23.503899,152.049179,100,1,100,,,,,,,,100,
97,-23.505729,152.048255,100,1,50,50,,,,,,,100,
98,-23.506976,152.047836,90,1,45,45,,,,,10,,100,
99,-23.506415,152.046637,100,1,50,50,,,,,,,100,
100,-23.505067,152.046215,100,1,100,,,,,,,,100,
101,-23.504477,152.045801,100,1,80,,20,,,,,,100,
102,-23.502469,152.045616,80,1,60,,20,,,,20,,100,
103,-23.501304,152.045612,0,0,,,,,,,100,,100,
104,-23.50007,152.046266,0,0,,,,,,,100,,100,
105,-23.496548,152.045241,85,1,65,,20,,,,10,5,100,
106,-23.496793,152.045219,80,0,80,,,,,20,,,100,
107,-23.497539,152.044894,70,0,70,,,,,20,10,,100,
108,-23.496183,152.044523,80,1,40,40,,,,10,10,,100,
109,-23.494868,152.044666,85,1,70,15,,,,,,15,100,
110,-23.494234,152.045884,50,1,50,,,,,,,50,100,
111,-23.493142,152.046411,0,0,,,,,,,100,,100,
112,-23.492499,152.047477,0,0,,,,,,,100,,100,
113,-23.49244,152.047927,100,1,80,20,,,,,,,100,
114,-23.491431,152.048965,80,1,80,,,,,,20,,100,
115,-23.491225,152.051012,100,1,50,50,,,,,,,100,
116,-23.490521,152.051879,100,1,50,50,,,,,,,100,
117,-23.493033,152.050586,70,0,70,,,,,,30,,100,
118,-23.493574,152.050837,95,1,15,80,,,,,5,,100,
119,-23.494107,152.051159,100,1,50,50,,,,,,,100,
120,-23.493951,152.05224,90,1,90,,,,,,10,,100,
121,-23.494912,152.051216,100,0,100,,,,,,,,100,
141,-23.491395,152.063124,100,1,50,50,,,,,,,100,
142,-23.48845,152.065606,100,1,50,50,,,,,,,100,
143,-23.489103,152.06744,100,0,100,,,,,,,,100,
144,-23.489188,152.069943,60,1,,60,,,,30,,10,100,
145,-23.487772,152.07246,90,1,45,45,,,,,,10,100,
146,-23.489832,152.07459,100,1,20,80,,,,,,,100,
147,-23.490011,152.075354,100,1,90,10,,,,,,,100,
148,-23.490065,152.076273,80,1,,80,,,,,20,,100,
149,-23.490405,152.0767,90,1,30,60,,,,10,,,100,
